港台,#genre#
爱尔达体育3台,http://mytv6688.xyz/smt.php?id=eltasport3_twn

靖天卡通台,http://mytv6688.xyz/smt.php?id=jingtiancartoon_twn
东森幼幼 Yoyo TV,http://mytv6688.xyz/smt.php?id=yoyo_twn
美亚电影,http://mytv6688.xyz/smt.php?id=meiyamovie_twn
龙详时代,http://mytv6688.xyz/smt.php?id=lungxiangtime_twn
东森电影 ETTV Movie,http://mytv6688.xyz/smt.php?id=ettvmovie
东森洋片 ETTV Western,http://mytv6688.xyz/smt.php?id=ettvwestern
龙华洋片,http://mytv6688.xyz/smt.php?id=lunghuawestern_twn

亚洲美食,http://mytv6688.xyz/smt.php?id=afc_twn
美食星球,http://mytv6688.xyz/smt.php?id=foodplanet_twn
亚洲旅游 TLC Asia,http://mytv6688.xyz/smt.php?id=tlc_twn
东森财经新闻 ETTV Business,http://mytv6688.xyz/smt.php?id=ettvcaijing_twn


爱奇艺,http://mytv6688.xyz/smt.php?id=Qiyi
华丽台HD,http://mytv6688.xyz/smt.php?id=Wlt
欢喜台HD,http://mytv6688.xyz/smt.php?id=Huahee
Astro QJ,http://mytv6688.xyz/smt.php?id=Quanjia
TVB Jade,http://mytv6688.xyz/smt.php?id=Tvbjade
TVB Asia,http://mytv6688.xyz/smt.php?id=Tvbasia
TVB Entertainment,http://mytv6688.xyz/smt.php?id=Tvbentertainment
TVB Classic,http://mytv6688.xyz/smt.php?id=Tvbclassic
RHK 31,http://mytv6688.xyz/smt.php?id=rhk31_twn
RHK 32,http://mytv6688.xyz/smt.php?id=rhk32_twn
Viu6,http://mytv6688.xyz/smt.php?id=viusix_twn
VIUTV1,http://mytv6688.xyz/smt.php?id=viu1_twn

CCTV-1综合 HD,http://mytv6688.xyz/smt.php?id=cctv1
CCTV-2财经,http://mytv6688.xyz/smt.php?id=cctv2
CCTV-3综艺 HD,http://mytv6688.xyz/smt.php?id=cctv3
CCTV-4中文国际,http://mytv6688.xyz/smt.php?id=cctv4
CCTV-4中文国际,,http://mytv6688.xyz/smt.php?id=Cctv4
CCTV-7军事农业,http://mytv6688.xyz/smt.php?id=cctv7
CCTV-8电视剧 HD,http://mytv6688.xyz/smt.php?id=cctv8hd
CCTV-9记录 HD,http://mytv6688.xyz/smt.php?id=cctv9hd
CCTV-10科教 HD,http://mytv6688.xyz/smt.php?id=cctv10hd
CCTV-11戏曲,http://mytv6688.xyz/smt.php?id=cctv11
CCTV-12社会与法,http://mytv6688.xyz/smt.php?id=cctv12
CCTV-13新闻频道,http://mytv6688.xyz/smt.php?id=cctv13
CCTV-14少儿,http://mytv6688.xyz/smt.php?id=cctv14
CCTV-6,http://mytv6688.xyz/smt.php?id=cctv6
CCTV-15音乐,http://mytv6688.xyz/smt.php?id=cctv15
湖南卫视,http://mytv6688.xyz/smt.php?id=hunan_twn
浙江卫视,http://mytv6688.xyz/smt.php?id=zhejiang_twn
江苏卫视,http://mytv6688.xyz/smt.php?id=jiangsu_twn
深圳卫视,http://mytv6688.xyz/smt.php?id=shenzhen
东南卫视,http://mytv6688.xyz/smt.php?id=fujian
广东南方卫视,http://mytv6688.xyz/smt.php?id=nanfang_twn
广东卫视,http://mytv6688.xyz/smt.php?id=guangdongweishi_twn
北京卫视,http://mytv6688.xyz/smt.php?id=beijing
珠江台,http://mytv6688.xyz/smt.php?id=zhujiang
广西卫视,http://mytv6688.xyz/smt.php?id=guangxi
湖北卫视,http://mytv6688.xyz/smt.php?id=hubei
四川卫视,http://mytv6688.xyz/smt.php?id=sichuan_twn
东方卫视,http://mytv6688.xyz/smt.php?id=dongfangweishi_twn
CGTN,http://mytv6688.xyz/smt.php?id=CGTN
凤凰卫视,http://mytv6688.xyz/smt.php?id=phoenixtv_hd
凤凰资讯,http://mytv6688.xyz/smt.php?id=phoenixinfo_hd
CCTV-5体育频道,http://mytv6688.xyz/smt.php?id=cctv5
CCTV-5+体育赛事 HD,http://mytv6688.xyz/smt.php?id=cctv5plus
