💞央视💞,#genre#
CCTV-14,http://39.164.180.36:19901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14,http://113.15.109.216:59901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://222.169.85.8:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-15,http://222.134.245.16:9901/tsfile/live/0015_1.m3u8
CCTV-15,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8
CCTV-15,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16,http://222.134.245.16:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://59.188.94.126:35455/bptv/10000100000000050000000004972604.m3u8
CCTV-16,http://home.yulei.online:9999/rtp/226.0.2.169:9264
CCTV-17,http://220.164.192.48:50085/tsfile/live/0018_1.m3u8
CCTV-17,http://59.188.94.126:35455/bptv/10000100000000050000000003870758.m3u8
CCTV-17,http://222.169.85.8:9901/tsfile/live/0007_1.m3u8
CETV4,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001

💞卫视💞,#genre#
河南卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887270.m3u8
湖南卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873458.m3u8
北京卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003870776.m3u8
东方卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873462.m3u8
浙江卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873464.m3u8
江苏卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873461.m3u8
湖南卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873458.m3u8
广东卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873459.m3u8
深圳卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873474.m3u8
天津卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873466.m3u8
安徽卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873469.m3u8
山东卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873467.m3u8
山西卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887413.m3u8
辽宁卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873468.m3u8
河北卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873460.m3u8
江西卫视,http://59.188.94.126:35455/bptv/10000100000000050000000004796511.m3u8
湖北卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873465.m3u8
四川卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887274.m3u8
